,neither,hate,offensive,cw_tweet,hate_score,offensive_score,neither_score,POS,NEG,ANG,nw
2816,0.0,1.0,0.0,@chalecarlo5 fuck outta trash ass ink faggot ass self pussy,0.6434667421806137,0.694528204855963,0.4085335527050142,0.0,0.0,0.0,10
19746,0.0,1.0,0.0,rt @nick_pertile oh goodness hate chinese people fucking zipperheads,0.7813084011584769,0.7478936353146008,0.6637719926820029,0.0,0.1111111111111111,0.1111111111111111,9
2834,0.0,1.0,0.0,@cheesus85 @greyyygoose faaaaggggottttt speaking blonde hair confused hypocrite cuz faggot,0.7231091749674352,0.6790017615223182,0.6179236089313476,0.0,0.1,0.0,10
3912,0.0,1.0,0.0,@lexvan13 nigeria faggot,0.4533534803088935,0.40707726326786614,0.2910859429015338,0.0,0.0,0.0,3
1789,0.0,1.0,0.0,"8220;@iamkrause need thank killing niggers reward.&#8221 

 dis pal graduation",0.6968009376965102,0.6494380728882524,0.6562715692435451,0.0,0.1111111111111111,0.0,9
17964,0.0,1.0,0.0,rt @vatxn illegal alien race crime @muchomacho @mcdonalds @jeandeaux1776 @cspanwj wetbacks http://t.co/pf2ypelyop,0.5130059245647416,0.3434492573524171,0.4900591927689083,0.0,0.16666666666666666,0.08333333333333333,12
23818,0.0,1.0,0.0,fat dykes want vomit,0.612012921988203,0.6540643350589291,0.49160046873483176,0.0,0.0,0.0,4
3198,0.0,1.0,0.0,@freddyamazin ratchet looking nigger,0.7501173414180037,0.7255189573699123,0.7166208774635208,0.0,0.0,0.0,4
3496,0.0,1.0,0.0,@imtoblame fatherless wallet carrying ass video game playing ass negro breh filth way afford date twitterhoney,0.7691729082402496,0.7655124383470115,0.7451273939029581,0.0625,0.0,0.0,16
7284,0.0,1.0,0.0,@whiteangelss84 y nt u end monkeys u hate better crackers amp love deep u know ve nothin u,0.5897623351819271,0.6232741387274872,0.5356101885672092,0.0,0.05555555555555555,0.05555555555555555,18
17128,0.0,1.0,0.0,rt @rollingwithtrin niggers store knowwww stealing 128514;&#128514;&#128514,0.6253135173938649,0.5756271999522411,0.6416888769723084,0.14285714285714285,0.14285714285714285,0.14285714285714285,7
6696,0.0,1.0,0.0,@miranda_mills okay let fight ginger faggot,0.7015557188171951,0.7277051490887158,0.6081332453747167,0.0,0.16666666666666666,0.16666666666666666,6
11531,0.0,1.0,0.0,spic talks white person white person kills self defense,0.6997433492448593,0.5231088059674535,0.7333887810321439,0.2222222222222222,0.1111111111111111,0.0,9
3401,0.0,1.0,0.0,@hovaa shut lizard faggot nigger cunt,0.5646081806049024,0.584242939511967,0.30605140679463166,0.0,0.0,0.0,6
4389,0.0,1.0,0.0,@patdollard fuckin muzzie cunts deported savages,0.6301068383931508,0.5582785596419906,0.4076837110217106,0.0,0.16666666666666666,0.0,6
1444,0.0,1.0,0.0,"8220;@nochillpaz white kids favorite activities 
 calling people niggers xbox 
 2.fucking pet 
 shooting school&#8221",0.7315133151906069,0.6088877505438453,0.7750212428258475,0.15384615384615385,0.0,0.0,13
13088,0.0,1.0,0.0,neighbors sick wake um nigger music ctfu,0.6387317374611103,0.6541238465476769,0.5078248553641658,0.0,0.14285714285714285,0.0,7
3751,0.0,1.0,0.0,@klsouth @miss_didi23 evil hate whitey racist thinks delbert belton deserved @maryforbes14 @enemiesofdonnaj @stephannanson,0.6834289596810954,0.5795082355446954,0.5242553996879686,0.07692307692307693,0.07692307692307693,0.15384615384615385,13
4332,0.0,1.0,0.0,@officialskais kill ugly ass monkey looking shit,0.7745419082083992,0.8224971353360352,0.5545951077962115,0.0,0.2857142857142857,0.0,7
24084,0.0,1.0,0.0,real life online follow sorry folks cause look like border hopper mean born raised,0.7389290387336427,0.6609973033311038,0.790286046607382,0.07142857142857142,0.0,0.07142857142857142,14
14204,0.0,1.0,0.0,rt @anthonybialy maryland bunch hateful rednecks,0.6773807662453801,0.6275240367557596,0.5698530655233417,0.0,0.16666666666666666,0.16666666666666666,6
8941,0.0,1.0,0.0,elizabeth a.stupid hoe,0.1605374915968464,0.19988050316625058,0.12597031458612726,0.0,0.0,0.0,3
8105,0.0,1.0,0.0,black bitches kickin school bitches comin wit durags head nd shit,0.7623777674442098,0.7773690862601508,0.6463716704701947,0.0,0.09090909090909091,0.0,11
5987,0.0,1.0,0.0,@fucktyler fuck spear chucker,0.6641728927144342,0.6991940712406826,0.4786689261911877,0.0,0.0,0.0,4
21129,0.0,1.0,0.0,spics half breed trash filthy native allowed speak european,0.72027125704487,0.570046512279137,0.7470510667981023,0.0,0.1111111111111111,0.0,9
13781,0.0,1.0,0.0,pennsylvania white trash pennsylvanians,0.6036164703115807,0.4396232201809813,0.5888131499418334,0.0,0.0,0.0,4
3356,0.0,1.0,0.0,@heauxmersimpson jus tryna vaca away niggers bro,0.5754055004041516,0.607404118828225,0.46031682200897817,0.0,0.0,0.0,7
459,0.0,1.0,0.0,hey look video man found kidnapped girls ohio nigger shitmybosssays,0.7864899888578066,0.741377769126244,0.7422961780606795,0.0,0.1,0.1,10
4442,0.0,1.0,0.0,@prophzilla hate blew like hipster hate faggots love music based worst +,0.5643668621844306,0.5224781046783366,0.5087594528042597,0.0,0.08333333333333333,0.08333333333333333,12
15185,0.0,1.0,0.0,rt @femshaveballz longer run business n america deemed acceptable political group retards known democr&#8230,0.5561024481446317,0.40484175998580285,0.630744627614514,0.07142857142857142,0.0,0.0,14
22803,0.0,1.0,0.0,white trash okies count real white people count white person count person okies people,0.7274795237725135,0.5395626715024061,0.7510002395167649,0.5,0.0,0.0,14
17814,0.0,1.0,0.0,rt @torahblaze @1sonofyahweh ashamed single life fuck w nasty faggot ass white man,0.8002317188349519,0.7808583954019652,0.6154261322508505,0.07692307692307693,0.07692307692307693,0.07692307692307693,13
11653,0.0,1.0,0.0,kill cops cracker babies black states white states latino states moving backwards,0.7168076114139554,0.516040781293375,0.7205652299051335,0.0,0.25,0.0,12
683,0.0,1.0,0.0,california white trash,0.612937371460087,0.4578909802250699,0.6032656196539367,0.0,0.0,0.0,3
7105,0.0,1.0,0.0,@sweetakin rich white liberals know best black people obviously uncle toms,0.7940851767285662,0.6498312208734883,0.8013325503880036,0.09090909090909091,0.09090909090909091,0.0,11
2703,0.0,1.0,0.0,@buckm00se like sand nigger entertaining like knockdowns,0.7673232667680419,0.7218532935078871,0.7787527367588392,0.14285714285714285,0.0,0.0,7
738,0.0,1.0,0.0,minnesota white trash,0.5995111818586613,0.4525394307282159,0.57934697584755,0.0,0.0,0.0,3
12189,0.0,1.0,0.0,kanye west faggot,0.2410388863701618,0.18933001213080078,0.18566516078555673,0.0,0.0,0.0,3
20046,0.0,1.0,0.0,rt @sorryimalex got called faggot buying girl toms gon na fuck person ass,0.7437493654235235,0.8217592424489212,0.5771860456754281,0.0,0.0,0.0,13
21535,0.0,1.0,0.0,blacks california typical niggers,0.6561366648556417,0.4674412019217422,0.6476448473805506,0.0,0.0,0.0,4
7546,0.0,1.0,0.0,ai nt wearing new westbrook jordan mexicans amp trailer park trash white girls,0.7036947374852369,0.6922570019834069,0.6485416737034939,0.07692307692307693,0.07692307692307693,0.0,13
2459,0.0,1.0,0.0,"@anthonycumia 
 totally correct anthony can&#8217;t livin round dem colored folk day bringin da hood dem propery value",0.5791637286201903,0.524763711177625,0.6990898326995872,0.0,0.0,0.0,17
5919,0.0,1.0,0.0,@elchavaloko cares tbh ones shitty dirty argentino amp feather fisted nigger,0.8193393773013542,0.7909542829840323,0.7498295150787251,0.0,0.09090909090909091,0.0,11
21058,0.0,1.0,0.0,somebody choke fucking retard keeps yelling mashed potatoes tool pgachampionship,0.774200711935309,0.7712140954929415,0.7398145370619235,0.0,0.2,0.2,10
4822,0.0,1.0,0.0,@theracistdoctor little nigger grow big nigger,0.6949456321865435,0.7016545527111261,0.6226743051620861,0.0,0.0,0.0,6
19136,0.0,1.0,0.0,rt @ibezo stupid fucking nigger lebron flopping stupid jungle bunny monkey faggot,0.7749517452807125,0.7969088145609716,0.5723071633795324,0.0,0.25,0.0,12
12485,0.0,1.0,0.0,lmao rt @handsomeesco_55 u live wit ya girl u dishes u faggot,0.5045354584668773,0.5611059947288929,0.3930135589171266,0.0,0.0,0.0,12
2668,0.0,1.0,0.0,@braxcity29 @maria_obregon_g @sophia_freeman1 3/4 citizen said maria spic,0.47603172598703697,0.40076809793241075,0.4664290555184628,0.0,0.0,0.0,8
3911,0.0,1.0,0.0,@levi_page bend way queer thanks offer flattering,0.6298996217901476,0.5994378830894989,0.7087244958478958,0.2857142857142857,0.0,0.0,7
796,0.0,1.0,0.0,vinitahegwood job naacp ag hear like diversity tolerance long ai cracker tcot,0.7257940755631755,0.7365401044359992,0.6680739560422713,0.0,0.0,0.0,12
6263,0.0,1.0,0.0,@jimachterfeld @joeo670 @dan_bernsein bernstine chi sox jew fag,0.27556203156722026,0.28569121547674936,0.1373933467301326,0.0,0.0,0.0,8
6640,0.0,1.0,0.0,@marylene58 @sunflower1790 @shelliecorreia @jan4usa niggress thinks human,0.5414441048259034,0.4363406458065859,0.5110283264845018,0.0,0.0,0.0,7
3199,0.0,1.0,0.0,@freeajay understand look like real life dyke right like look like wnba dyke bro sports bra amp bball shorts wearing dyke,0.8123373130720275,0.7838033953094125,0.8293264283196793,0.047619047619047616,0.047619047619047616,0.0,21
4758,0.0,1.0,0.0,@stephyrae7 faggot,0.3902238288628864,0.4112493103974241,0.06379101171447685,0.0,0.0,0.0,2
2853,0.0,1.0,0.0,@christian_esem know talking retarded faggot,0.7693345153462168,0.7477133953545595,0.6323185689914359,0.2,0.0,0.0,5
16103,0.0,1.0,0.0,rt @lanurse1 michaelbrown supporter says whites evil albino black babies seriously tcot @klsouth http://t.co/p&#8230,0.737572930208723,0.5757633212469397,0.6864427728081977,0.0,0.14285714285714285,0.07142857142857142,14
22868,0.0,1.0,0.0,filthy wetback half breed spic savages live losangeles right,0.7447277455098414,0.6527756171675767,0.7545951153177661,0.0,0.1111111111111111,0.0,9
11129,0.0,1.0,0.0,"like apologize called fat stupid gay nigger jew retarded truly sorry 

 jk 

 trolling 

 fags",0.8152468295650356,0.7670127709658734,0.6410837651726079,0.07142857142857142,0.21428571428571427,0.0,14
15453,0.0,1.0,0.0,rt @heidil_rn fuck islam pigfucking trash troll @itsjustme7o7 @mzkerievans @ctbauza,0.680860761092602,0.6951620230337949,0.4873702146085628,0.0,0.0,0.0,10
11391,0.0,1.0,0.0,sick u niggers,0.5635358801196678,0.5962911808242656,0.39687243125295546,0.0,0.3333333333333333,0.0,3
5840,0.0,1.0,0.0,@denytheprophecy thanks ignoring texts fag,0.5540481490161724,0.45878251267259484,0.5940476461960801,0.0,0.2,0.0,5
4740,0.0,1.0,0.0,"@stanleystinks shame self hating kike 
 jews g d chosen people",0.5328539861719731,0.4329740170846933,0.5431565467743846,0.0,0.1,0.1,10
3407,0.0,1.0,0.0,@huffingtonpost faggots page y nt they?faggots offend,0.327568139769626,0.34940765308642613,0.25549079546335696,0.0,0.14285714285714285,0.14285714285714285,7
3673,0.0,1.0,0.0,@joedouglas1 sit stfu raghead @darknight420 @hajihuntingpat,0.32384753217068035,0.3715202324758646,0.29009351966039654,0.0,0.0,0.0,6
3559,0.0,1.0,0.0,@jpantsdotcom @todd__kincannon @the__realtony partial faggot homo fairly describes sick twisted assholes,0.7543473801470597,0.6428563079945397,0.6634064878510452,0.09090909090909091,0.09090909090909091,0.0,11
5873,0.0,1.0,0.0,@dolphrudager kids queers,0.5504012077807345,0.5543547317975407,0.4868726013680372,0.0,0.0,0.0,3
1412,0.0,1.0,0.0,8220;@maxwell_larsen live gay afraid black dicks butt fucking queer,0.7788781709935956,0.7188024244117425,0.6127008325884296,0.0,0.3333333333333333,0.0,9
2817,0.0,1.0,0.0,@chalecarlo5 stay talking defending fuckboy ass boyfriend suck faggot,0.7654726697082058,0.7983482531726523,0.600747832143499,0.2222222222222222,0.1111111111111111,0.0,9
22373,0.0,1.0,0.0,ugly fucking nigger baby thought gorilla first.14/88 http://t.co/bq3g01rxkn,0.8295082425599346,0.8282599811040645,0.6816070316558511,0.0,0.125,0.0,8
6706,0.0,1.0,0.0,@mlvassallo oh fags gross aids infected sick fuckers,0.6073387283879135,0.5989146787865356,0.4762040250834396,0.0,0.375,0.0,8
8108,0.0,1.0,0.0,black people like @chiefkeef disgust laughing died dumb monkey ass niggas like need locked stupidity,0.8759283718727227,0.83941278178152,0.7265575997044172,0.06666666666666667,0.2,0.0,15
4930,0.0,1.0,0.0,@thekushzombie aww y u mad tho successful man lmfao hut hugging faggot,0.5823967262956072,0.6027230491471836,0.4676716678046749,0.16666666666666666,0.08333333333333333,0.08333333333333333,12
6929,0.0,1.0,0.0,@rickygervais boring&amp;hack allah mohamed fags mention well.did god away balls punishment,0.6575941639246329,0.5697144140885608,0.635524807676285,0.0,0.09090909090909091,0.09090909090909091,11
22587,0.0,1.0,0.0,fag,0.2925903929985249,0.318122634141067,0.07629872561023364,0.0,0.0,0.0,1
9308,0.0,1.0,0.0,fuck fuck stupid cheating bitch lick dick die ur stupid nigger bitch,0.7148547975029231,0.7982364714919328,0.4284754567251627,0.0,0.3333333333333333,0.08333333333333333,12
14491,0.0,1.0,0.0,rt @broganwebber beyonc&#233 trash,0.43622855491677903,0.4453623859086713,0.3610063218246387,0.0,0.0,0.0,4
2178,0.0,1.0,0.0,white rolls eyes rt @didntdonuffin @dreaaalove rip nigga trayvon worthless spear chucker,0.7385808656205678,0.711146162260509,0.6486339034109069,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
23835,0.0,1.0,0.0,fuck ray rice crack bitch,0.6008391647504714,0.6458601469312986,0.5043367272101472,0.0,0.0,0.0,5
3428,0.0,1.0,0.0,@huntermoore happy cuz woke white nigger,0.7325890778862837,0.7151994525242824,0.5994315968042753,0.3333333333333333,0.0,0.0,6
5550,0.0,1.0,0.0,@asshole_king pills nig years like magic j .that nig hav died years ago y'all team draft gay,0.6274010553764642,0.5341569282078614,0.6290140942644141,0.0,0.05555555555555555,0.0,18
9332,0.0,1.0,0.0,fucking hate coon ahh uncle,0.711428178439111,0.7193673651901806,0.5001948841120999,0.0,0.0,0.0,5
23326,0.0,1.0,0.0,word rt @jrwrz @thotcho beat fucking faggots pls,0.7270198503014491,0.7356138434946091,0.6048405501679441,0.0,0.0,0.0,8
10182,0.0,1.0,0.0,da flow temple today fo nuttin dat jew wit funky hair tell subhuman tell ai mo human den monkey,0.6583752972902309,0.7070818426034174,0.5644182876911119,0.0,0.0,0.0,19
2254,0.0,1.0,0.0,old hoes ponk dyke outchea having girl talk,0.6487771151553493,0.6277494428281745,0.5858614228170241,0.125,0.0,0.0,8
5143,0.0,1.0,0.0,@whosjuly faggot like state,0.6767155143126599,0.5517798702528975,0.6109787649853604,0.0,0.0,0.0,4
17257,0.0,1.0,0.0,rt @seymor_buccs man coons jus quit yo job found ya boss racist shut tha fucc niggas love,0.7464775871597417,0.7727503986113814,0.578246900606721,0.058823529411764705,0.058823529411764705,0.0,17
23246,0.0,1.0,0.0,jiggaboo,0.0,0.0,0.0,0.0,0.0,0.0,1
4478,0.0,1.0,0.0,@rsberto dumb haitian fake black faggots haiti neck,0.6747167490242343,0.6205367036163655,0.5317596512417269,0.0,0.375,0.0,8
3292,0.0,1.0,0.0,@gossipcop julie tell crybaby blacks blk dress white faced niggers whining,0.7915045896820857,0.6768923271639768,0.734105471429352,0.09090909090909091,0.09090909090909091,0.0,11
11845,0.0,1.0,0.0,iont niggas fags,0.37783997397580826,0.4252157141568691,0.1070511133657238,0.0,0.0,0.0,3
10478,0.0,1.0,0.0,hate white trash cops raped murdered infant daughters son,0.5989349775854312,0.5145882572854614,0.46365525635172083,0.1111111111111111,0.3333333333333333,0.3333333333333333,9
11312,0.0,1.0,0.0,upset got faggots,0.5480376636727652,0.651721666095112,0.411370828836126,0.0,0.0,0.0,3
23940,0.0,1.0,0.0,hope gezus gets shot faggot head houston nbombs,0.6413726599159466,0.6685108785052797,0.6240186630710682,0.0,0.125,0.125,8
8991,0.0,1.0,0.0,spic cop killed pigs got job white people,0.7866695982889274,0.732646082492078,0.6856277150441046,0.125,0.125,0.0,8
8106,0.0,1.0,0.0,black cops want kill white citizens spic cops want kill anglo citizens zigeuner cops rapists,0.786161589850627,0.6795483921886554,0.6617653675171496,0.06666666666666667,0.2,0.0,15
2946,0.0,1.0,0.0,@darealalexinla @woody_afc @rodriguez5 nig fun watch got admit ebola boy speak broken spanish lol,0.7307576502530244,0.7816520047961383,0.6773706452155032,0.0,0.0,0.0,14
15659,0.0,1.0,0.0,rt @isaidnick niggers ignorant http://t.co/p9jddvsrvb,0.7368872963921149,0.6583821384410717,0.5465643347246306,0.0,0.4,0.0,5
20671,0.0,1.0,0.0,like da colored folk gettin da way lately sayin,0.5002991767721865,0.5036605232046082,0.5157277725938901,0.0,0.0,0.0,9
7272,0.0,1.0,0.0,@wclemons @thejoelberggren @anthonycumia little fag fuck woman kids plus work support hipster homo,0.7923161096272966,0.7478796225974101,0.7487279627954209,0.0,0.0,0.0,13
20252,0.0,1.0,0.0,rt @twerkn4boba fuck bitch kill http://t.co/3eigzh6q13,0.6504653220313134,0.7206145127575091,0.403223632433506,0.0,0.16666666666666666,0.0,6
6850,0.0,1.0,0.0,@pombuenaa surprised read slits eyes,0.5452754358942875,0.543821355105532,0.57932965186566,0.2,0.0,0.0,5
3677,0.0,1.0,0.0,@joey_d26 sweet comeback u fuckin herb dnt watch soccer d wax bitch ass swallow red soxs kids ur nyc fag,0.7007947994276673,0.7777515656636281,0.6108744075553475,0.05,0.0,0.0,20
2759,0.0,1.0,0.0,@campos_uli fag hesgay,0.2925903843544114,0.3181226356909274,0.07629872895327797,0.0,0.0,0.0,3
6801,0.0,1.0,0.0,@oniinebaby knew faggot,0.5139278601698143,0.5418744233366701,0.30666854130755045,0.0,0.0,0.0,3
2679,0.0,1.0,0.0,@brenddan said bullshit damn niggers,0.6183452503672643,0.6335893980251012,0.40296274081497996,0.0,0.2,0.2,5
2602,0.0,1.0,0.0,@billionairecrow @neelahrelates wrong white race fuckin coon slaying piece poop die,0.795511318898386,0.7227803335636457,0.694150820982303,0.0,0.18181818181818182,0.09090909090909091,11
4248,0.0,1.0,0.0,@natlfascist88 @waspnse jews white race traitors swept clean aryan race survive,0.5751875472029055,0.4209183232862845,0.5957052287813452,0.2727272727272727,0.0,0.0,11
21188,0.0,1.0,0.0,stu rape faced faggot man sick nigga,0.6626788631217961,0.6091780899515987,0.4299919096756154,0.0,0.14285714285714285,0.0,7
15660,0.0,1.0,0.0,rt @italian_montana 8220;@arosati96 bromance pat ant real&#8221 fuck faggot,0.6272803290463492,0.6431691769850032,0.4167461678552683,0.0,0.0,0.0,9
588,0.0,1.0,0.0,people think gay marriage okay sorry want future son seeing fags walking street holding hands,0.800958196349566,0.7410942559655724,0.7708526485270955,0.0,0.0,0.0,15
13338,0.0,0.0,1.0,niggas straight hoes bruh stop fuckin em,0.6278637367661791,0.704937146684409,0.48739100212305847,0.0,0.0,0.0,7
14636,0.0,0.0,1.0,rt @cesar_wtx pink nipples cute looking nasty bitch,0.6728809433911564,0.7371486950010823,0.6110943411309729,0.125,0.125,0.125,8
23849,0.0,0.0,1.0,pussies,0.46818515649149195,0.5071259725729895,0.29019888836148533,0.0,0.0,0.0,1
13420,0.0,0.0,1.0,planet earth protective bull dykes,0.5960408587087886,0.5061980935722754,0.6239263710927438,0.2,0.0,0.0,5
18561,0.0,0.0,1.0,rt @anderson6benton 8220;@t_rev_13 dumb bitches thing extinct &#8221 real,0.28664044199082955,0.3182176233540708,0.26967490209718303,0.1111111111111111,0.2222222222222222,0.0,9
8264,0.0,0.0,1.0,bitch follow don't like u @_graceexo,0.717366343427437,0.7682812214596443,0.5924422148289712,0.0,0.0,0.0,7
2171,0.0,0.0,1.0,lol nah hoes dealt y' http://t.co/rxtjwwkfhj,0.3063555029773115,0.3531207545600276,0.23579254232282953,0.16666666666666666,0.0,0.0,6
10006,0.0,0.0,1.0,exposed facebook hoe,0.5931890759439516,0.5103990570211789,0.6343547288178603,0.0,0.0,0.0,3
19531,0.0,0.0,1.0,rt @lildurk finna bag cutting weak hoes,0.5805150031106636,0.5851642654645086,0.6426424225088181,0.0,0.0,0.0,7
17882,0.0,0.0,1.0,rt @tweets_nochill club flyer hoe,0.249574904375792,0.2318497210162142,0.3035584571617843,0.0,0.0,0.0,5
5464,0.0,0.0,1.0,@actionlljackson bitch word awesome wrong,0.6772590032645958,0.6987973972650154,0.5680212041542018,0.0,0.2,0.0,5
22889,0.0,0.0,1.0,everytime cracker barrel girl great tits seats waitress nope chick teeth,0.7339317548134365,0.7526066351030688,0.7196007262581106,0.0,0.0,0.0,11
19468,0.0,0.0,1.0,rt @krystalschnutz eat random bitches ass eat iggy ass randomthought randomthot shitiwouldneverdo,0.6209991976556613,0.7164868441387025,0.42180323888640353,0.16666666666666666,0.0,0.0,12
23302,0.0,0.0,1.0,bitches comment vine like oh god knowin damn neva shit like lmfaaoo,0.7846895745500364,0.811304731515344,0.650667161701926,0.0,0.0,0.0,12
9910,0.0,0.0,1.0,bitch,0.5281434473385898,0.6495259019508495,0.27962286440931156,0.0,0.0,0.0,1
3060,0.0,0.0,1.0,@doughboyfreco hahahhaha mad bitches 128514;&#128514;&#128514;&#128514,0.5592807664397703,0.6245530935810255,0.3409917530818376,0.0,0.2,0.2,5
14610,0.0,0.0,1.0,rt @causewereguys dumb bitch lol http://t.co/zbuo9zoj2e,0.5297999646963333,0.6406795272319316,0.27264646740575954,0.0,0.16666666666666666,0.0,6
2232,0.0,0.0,1.0,hoes 128527;&#128520;&#128526,0.29835190134942363,0.37320813592478064,0.26247667066564545,0.0,0.0,0.0,2
7518,0.0,0.0,1.0,ai fuckin wit shady bitches,0.48805213460999664,0.6127043922170204,0.24998528414829452,0.0,0.2,0.0,5
4365,0.0,0.0,1.0,@ottawapolitico fucking muzzie edict come feds prov govt,0.65342736060012,0.5952512782938998,0.6041848173386067,0.0,0.0,0.0,8
179,0.0,0.0,1.0,@loveable_aizah big booty hoes sheesh damn 127807;&#128064;&#127807,0.5939281600244274,0.6823213549247179,0.48514654786370837,0.0,0.14285714285714285,0.14285714285714285,7
23452,0.0,0.0,1.0,catch public chick got iphone 4s seen public classy bitches,0.7104005451201173,0.6788197362232433,0.7424009468551301,0.2,0.0,0.0,10
14983,0.0,0.0,1.0,rt @desean_96 8220;@1bookieg fucked life bitch 128514;&#128514;&#128514;&#128164;&#8221;&#128514;&#128514;&#128514,0.705234207150022,0.7511315615467312,0.5760711145724116,0.0,0.0,0.0,7
4742,0.0,0.0,1.0,@starlavafox bitch like bitch,0.7199188981845753,0.8063632392784318,0.5253582353141187,0.0,0.0,0.0,4
20189,0.0,0.0,1.0,rt @tictacsforsex girlfriend like bitch talk bitch,0.758439331664909,0.8424655873544789,0.6072739376181063,0.0,0.0,0.0,7
24766,0.0,0.0,1.0,want attention hoe,0.6496250133041153,0.6340171250158386,0.6652003586298966,0.0,0.0,0.0,3
21603,0.0,0.0,1.0,price wrong bitch,0.528692041434534,0.5736820866622045,0.4876356508466569,0.0,0.3333333333333333,0.0,3
7733,0.0,0.0,1.0,girl pussy ai shit baby girl roll high,0.6736474249877056,0.7700406678193243,0.5138866557897067,0.0,0.0,0.0,8
13064,0.0,0.0,1.0,main bitch ghost,0.4881190779868118,0.4420168301347776,0.4404672732516639,0.3333333333333333,0.0,0.0,3
1509,0.0,0.0,1.0,8220;@sair lucky ashit got shawty want 128527;&#128175;&#8221 niggah tryna,0.6256671113531234,0.7424307861028651,0.5360654928876013,0.1111111111111111,0.0,0.0,9
19098,0.0,0.0,1.0,"rt @hittsblunt hits blunt 

 guy talk girls hoe hoes http://t.co/ypwo5rqwld",0.6735125344946576,0.7370623327805746,0.5680692695719585,0.0,0.1,0.1,10
2533,0.0,0.0,1.0,@bunnydahoney lt;= got hoes,0.5029192083492027,0.6264870086837601,0.4441076918165367,0.0,0.0,0.0,4
21861,0.0,0.0,1.0,pussy good,0.5914535403915329,0.6616703093963137,0.5041661208325225,0.0,0.0,0.0,2
